epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1472,1.05279,3.17364,1.30674,0.00468,0.8839,0.19717,0.11881,1.02834,3.43923,1.25514,0.00026664,0.00026664,0.00026664
2,132.476,1.05868,2.70306,1.34996,0.2508,0.2377,0.25179,0.14464,1.31422,2.98895,1.41468,0.000533611,0.000533611,0.000533611
3,195.259,1.12052,2.43943,1.41226,0.21104,0.32495,0.29558,0.14931,1.43998,2.77142,1.56635,0.000789583,0.000789583,0.000789583
4,258.04,1.15632,2.19564,1.38344,0.25244,0.41617,0.33374,0.16963,1.45586,2.94966,1.5236,0.00103456,0.00103456,0.00103456
5,320.9,1.1357,2.04965,1.37496,0.35642,0.49969,0.46094,0.24988,1.52563,2.90003,1.65626,0.00102301,0.00102301,0.00102301
6,386.535,1.19148,1.98873,1.3965,0.52691,0.48388,0.49562,0.25666,1.75546,5.47912,1.91963,0.00100101,0.00100101,0.00100101
7,449.056,1.16931,1.90466,1.38229,0.58861,0.33353,0.43646,0.24039,1.60768,3.09154,1.78532,0.000979013,0.000979013,0.000979013
8,511.868,1.09573,1.78281,1.36084,0.65084,0.51344,0.56284,0.30442,1.58384,2.53604,1.80304,0.000957015,0.000957015,0.000957015
9,575.592,1.12039,1.73191,1.36018,0.48868,0.44058,0.4588,0.25507,1.92312,2.70086,1.96262,0.000935018,0.000935018,0.000935018
10,641.21,1.10413,1.65307,1.33154,0.43356,0.56023,0.46916,0.25188,1.76957,2.53786,1.84849,0.00091302,0.00091302,0.00091302
11,707.261,1.07527,1.60459,1.31859,0.46551,0.71335,0.60763,0.3324,1.75041,2.05946,2.00438,0.000891022,0.000891022,0.000891022
12,770.58,1.07628,1.60669,1.33238,0.67842,0.58138,0.64239,0.35708,1.71737,2.22382,1.90604,0.000869024,0.000869024,0.000869024
13,834.536,1.03118,1.48298,1.3159,0.61426,0.54491,0.63674,0.3471,1.63999,1.90319,1.70704,0.000847026,0.000847026,0.000847026
14,899.095,1.03439,1.4608,1.28493,0.68564,0.64648,0.73878,0.43019,1.4197,1.7805,1.54942,0.000825029,0.000825029,0.000825029
15,962.319,1.07652,1.48489,1.33695,0.70257,0.59883,0.68097,0.39609,1.67381,2.01346,1.74368,0.000803031,0.000803031,0.000803031
16,1027.43,1.0469,1.42335,1.29251,0.7762,0.5092,0.65952,0.38776,1.65282,1.98766,1.74546,0.000781033,0.000781033,0.000781033
17,1090.98,1.00142,1.39639,1.27327,0.65658,0.5956,0.64775,0.38831,1.50425,1.96602,1.67863,0.000759035,0.000759035,0.000759035
18,1155.1,0.98158,1.29422,1.26071,0.70903,0.69107,0.74764,0.45429,1.47822,1.73359,1.63043,0.000737037,0.000737037,0.000737037
19,1220.94,0.951,1.3464,1.24622,0.77803,0.55771,0.71286,0.40845,1.52738,1.83516,1.60259,0.00071504,0.00071504,0.00071504
20,1287.35,0.96667,1.2696,1.22991,0.66101,0.63547,0.69898,0.3976,1.57003,1.8342,1.70238,0.000693042,0.000693042,0.000693042
21,1353.93,0.9772,1.20404,1.22051,0.77049,0.63809,0.7462,0.45727,1.4314,1.72946,1.5742,0.000671044,0.000671044,0.000671044
22,1420.58,0.94923,1.20227,1.21006,0.79009,0.66077,0.73701,0.45198,1.50958,1.6208,1.62556,0.000649046,0.000649046,0.000649046
23,1484.34,0.93845,1.21731,1.22828,0.75404,0.66048,0.72176,0.40346,1.56673,1.77006,1.70948,0.000627048,0.000627048,0.000627048
